"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31464","@smoke @regression New button is visible on dashboard","chromium","2026-09-21","broken","2026-09-21","App shell","ui/app-shell.spec.ts","",""
"","31187","@regression @smoke New Collection opens modal","chromium","2026-09-21","broken","2026-09-21","Create actions","ui/create-actions.spec.ts","",""
"","31565","@smoke @regression Tags tab loads","webkit","2026-09-21","broken","2026-09-21","Organization settings - Tags","ui/organization-settings/tags.spec.ts","",""
"","30155","@smoke @regression Dashboard shows welcome message","firefox","2026-09-21","broken","2026-09-21","Dashboard","ui/dashboard.spec.ts","",""
"","31668","@smoke @regression Recently deleted page loads","webkit","2026-09-21","broken","2026-09-21","Recently deleted","ui/recently-deleted.spec.ts","",""
"","31358","@regression @smoke Create Folder opens modal","chromium","2026-09-21","broken","2026-09-21","Create actions","ui/create-actions.spec.ts","",""
"","32216","@smoke @regression Dashboard shows welcome message","webkit","2026-09-21","broken","2026-09-21","Dashboard","ui/dashboard.spec.ts","",""
"","3197","@regression @auth Login with invalid credentials shows error","chromium-unauth","2026-09-21","passed","2026-09-21","Login > Authentication flow","ui/login.spec.ts","",""
"","31590","@smoke @regression Favorites page loads","webkit","2026-09-21","broken","2026-09-21","My favorites","ui/favorites.spec.ts","",""
"","32053","@smoke @regression All assets page loads","webkit","2026-09-21","broken","2026-09-21","All assets","ui/all-assets.spec.ts","",""
"","30173","@regression @smoke New menu shows all expected options","firefox","2026-09-21","broken","2026-09-21","New menu","ui/new-menu.spec.ts","",""
"","30164","@smoke @regression Overview tab loads with org name and metrics","firefox","2026-09-21","broken","2026-09-21","Organization settings - Overview","ui/organization-settings/overview.spec.ts","",""
"","30138","@smoke @regression Session persists after navigation","firefox","2026-09-21","broken","2026-09-21","App shell","ui/app-shell.spec.ts","",""
