"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24945","@smoke @e2e Session persists after navigation","webkit","Sun Feb 15 06:00:19 UTC 2026","passed","Sun Feb 15 06:00:44 UTC 2026","App shell","app-shell.spec.ts","",""
"","8503","@e2e @smoke New menu shows all expected options","firefox","Sun Feb 15 06:00:55 UTC 2026","passed","Sun Feb 15 06:01:04 UTC 2026","New menu","new-menu.spec.ts","",""
"","5130","@smoke @e2e Dashboard page loads with welcome message","chromium","Sun Feb 15 06:00:22 UTC 2026","passed","Sun Feb 15 06:00:28 UTC 2026","Dashboard","dashboard.spec.ts","",""
"","12062","@e2e @smoke Create Folder opens modal","firefox","Sun Feb 15 06:00:25 UTC 2026","passed","Sun Feb 15 06:00:37 UTC 2026","Create actions","create-actions.spec.ts","",""
"","11231","@smoke @e2e New button is visible on All assets page","webkit","Sun Feb 15 06:00:45 UTC 2026","passed","Sun Feb 15 06:00:57 UTC 2026","App shell","app-shell.spec.ts","",""
"","6894","@e2e @smoke Create Folder opens modal","chromium","Sun Feb 15 06:00:09 UTC 2026","passed","Sun Feb 15 06:00:16 UTC 2026","Create actions","create-actions.spec.ts","",""
"","8393","@smoke @e2e Recently deleted page loads","firefox","Sun Feb 15 06:01:02 UTC 2026","passed","Sun Feb 15 06:01:10 UTC 2026","Recently deleted","recently-deleted.spec.ts","",""
"","11953","@smoke @e2e Session persists after navigation","firefox","Sun Feb 15 06:00:03 UTC 2026","passed","Sun Feb 15 06:00:15 UTC 2026","App shell","app-shell.spec.ts","",""
"","8942","@smoke @e2e Dashboard page loads with welcome message","firefox","Sun Feb 15 06:00:46 UTC 2026","passed","Sun Feb 15 06:00:55 UTC 2026","Dashboard","dashboard.spec.ts","",""
"","19434","@e2e @smoke Create Folder opens modal","webkit","Sun Feb 15 06:00:57 UTC 2026","passed","Sun Feb 15 06:01:16 UTC 2026","Create actions","create-actions.spec.ts","",""
"","7700","@smoke @e2e New button is visible on dashboard","firefox","Sun Feb 15 06:00:15 UTC 2026","passed","Sun Feb 15 06:00:23 UTC 2026","App shell","app-shell.spec.ts","",""
"","11446","@smoke @e2e All assets page loads","firefox","Sun Feb 15 06:00:03 UTC 2026","passed","Sun Feb 15 06:00:15 UTC 2026","All assets","all-assets.spec.ts","",""
"","8287","@smoke @e2e New button is visible on All assets page","firefox","Sun Feb 15 06:00:16 UTC 2026","passed","Sun Feb 15 06:00:25 UTC 2026","App shell","app-shell.spec.ts","",""
"","6405","@smoke @e2e Collections page loads","chromium","Sun Feb 15 06:00:08 UTC 2026","passed","Sun Feb 15 06:00:15 UTC 2026","Collections","collections.spec.ts","",""
"","3998","@regression @auth @e2e Login with invalid credentials shows error","chromium-unauth","Sun Feb 15 06:00:02 UTC 2026","passed","Sun Feb 15 06:00:06 UTC 2026","Login > Authentication flow","login.spec.ts","",""
"","10175","@smoke @e2e Left menu has all expected items: Dashboard, All assets, My favorites, Collections, Recently deleted","webkit","Sun Feb 15 06:01:29 UTC 2026","passed","Sun Feb 15 06:01:39 UTC 2026","Dashboard","dashboard.spec.ts","",""
"","6399","@e2e @smoke New Collection opens modal","chromium","Sun Feb 15 06:00:15 UTC 2026","passed","Sun Feb 15 06:00:21 UTC 2026","Create actions","create-actions.spec.ts","",""
"","5964","@e2e New menu closes on Escape","chromium","Sun Feb 15 06:00:16 UTC 2026","passed","Sun Feb 15 06:00:22 UTC 2026","Create actions","create-actions.spec.ts","",""
"","943","@e2e @auth Login with empty credentials shows validation","chromium-unauth","Sun Feb 15 06:00:06 UTC 2026","passed","Sun Feb 15 06:00:07 UTC 2026","Login > Form validation","login.spec.ts","",""
"","10651","@e2e @smoke New Collection opens modal","firefox","Sun Feb 15 06:00:35 UTC 2026","passed","Sun Feb 15 06:00:45 UTC 2026","Create actions","create-actions.spec.ts","",""
"","6228","@smoke @e2e All assets page loads","chromium","Sun Feb 15 05:59:57 UTC 2026","passed","Sun Feb 15 06:00:03 UTC 2026","All assets","all-assets.spec.ts","",""
"","4736","@smoke @e2e Recently deleted page loads","chromium","Sun Feb 15 06:00:32 UTC 2026","passed","Sun Feb 15 06:00:36 UTC 2026","Recently deleted","recently-deleted.spec.ts","",""
"","11485","@smoke @e2e Collections page loads","firefox","Sun Feb 15 06:00:23 UTC 2026","passed","Sun Feb 15 06:00:35 UTC 2026","Collections","collections.spec.ts","",""
"","12058","@smoke @e2e Dashboard page loads with welcome message","webkit","Sun Feb 15 06:01:30 UTC 2026","passed","Sun Feb 15 06:01:42 UTC 2026","Dashboard","dashboard.spec.ts","",""
"","10813","@smoke @e2e Favorites page loads","webkit","Sun Feb 15 06:01:39 UTC 2026","passed","Sun Feb 15 06:01:50 UTC 2026","My favorites","favorites.spec.ts","",""
"","7073","@smoke @e2e Session persists after navigation","chromium","Sun Feb 15 05:59:57 UTC 2026","passed","Sun Feb 15 06:00:04 UTC 2026","App shell","app-shell.spec.ts","",""
"","7664","@smoke @e2e Left menu has all expected items: Dashboard, All assets, My favorites, Collections, Recently deleted","firefox","Sun Feb 15 06:00:45 UTC 2026","passed","Sun Feb 15 06:00:53 UTC 2026","Dashboard","dashboard.spec.ts","",""
"","12725","@e2e @smoke Upload file, verify in All assets, then delete","chromium-unauth","Sun Feb 15 06:00:02 UTC 2026","passed","Sun Feb 15 06:00:15 UTC 2026","File upload and delete","file-upload.spec.ts","",""
"","4600","@smoke @e2e Left menu has all expected items: Dashboard, All assets, My favorites, Collections, Recently deleted","chromium","Sun Feb 15 06:00:21 UTC 2026","passed","Sun Feb 15 06:00:26 UTC 2026","Dashboard","dashboard.spec.ts","",""
"","8977","@smoke @e2e Favorites page loads","firefox","Sun Feb 15 06:00:53 UTC 2026","passed","Sun Feb 15 06:01:02 UTC 2026","My favorites","favorites.spec.ts","",""
"","5271","@smoke @e2e New button is visible on All assets page","chromium","Sun Feb 15 06:00:04 UTC 2026","passed","Sun Feb 15 06:00:09 UTC 2026","App shell","app-shell.spec.ts","",""
"","13595","@e2e @smoke New menu shows all expected options","webkit","Sun Feb 15 06:01:43 UTC 2026","passed","Sun Feb 15 06:01:56 UTC 2026","New menu","new-menu.spec.ts","",""
"","20735","@e2e @smoke New Collection opens modal","webkit","Sun Feb 15 06:01:08 UTC 2026","passed","Sun Feb 15 06:01:29 UTC 2026","Create actions","create-actions.spec.ts","",""
"","5076","@smoke @e2e New button is visible on dashboard","chromium","Sun Feb 15 06:00:03 UTC 2026","passed","Sun Feb 15 06:00:08 UTC 2026","App shell","app-shell.spec.ts","",""
"","5606","@smoke @e2e Favorites page loads","chromium","Sun Feb 15 06:00:26 UTC 2026","passed","Sun Feb 15 06:00:32 UTC 2026","My favorites","favorites.spec.ts","",""
"","5135","@e2e @smoke New menu shows all expected options","chromium","Sun Feb 15 06:00:28 UTC 2026","passed","Sun Feb 15 06:00:33 UTC 2026","New menu","new-menu.spec.ts","",""
"","11374","@smoke @e2e New button is visible on dashboard","webkit","Sun Feb 15 06:00:40 UTC 2026","passed","Sun Feb 15 06:00:52 UTC 2026","App shell","app-shell.spec.ts","",""
"","9419","@e2e New menu closes on Escape","firefox","Sun Feb 15 06:00:37 UTC 2026","passed","Sun Feb 15 06:00:46 UTC 2026","Create actions","create-actions.spec.ts","",""
"","10704","@smoke @e2e Recently deleted page loads","webkit","Sun Feb 15 06:01:50 UTC 2026","passed","Sun Feb 15 06:02:00 UTC 2026","Recently deleted","recently-deleted.spec.ts","",""
"","14340","@e2e New menu closes on Escape","webkit","Sun Feb 15 06:01:16 UTC 2026","passed","Sun Feb 15 06:01:30 UTC 2026","Create actions","create-actions.spec.ts","",""
"","16150","@smoke @e2e Collections page loads","webkit","Sun Feb 15 06:00:52 UTC 2026","passed","Sun Feb 15 06:01:08 UTC 2026","Collections","collections.spec.ts","",""
"","19830","@smoke @e2e All assets page loads","webkit","Sun Feb 15 06:00:19 UTC 2026","passed","Sun Feb 15 06:00:39 UTC 2026","All assets","all-assets.spec.ts","",""
