"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10423","@e2e @smoke New Collection opens modal","firefox","Fri Feb 13 01:45:43 UTC 2026","passed","Fri Feb 13 01:45:54 UTC 2026","Create actions","create-actions.spec.ts","",""
"","7577","@e2e @smoke Create Folder opens modal","chromium","Fri Feb 13 01:45:40 UTC 2026","passed","Fri Feb 13 01:45:48 UTC 2026","Create actions","create-actions.spec.ts","",""
"","5255","@smoke @e2e New button is visible on dashboard","chromium","Fri Feb 13 01:45:34 UTC 2026","passed","Fri Feb 13 01:45:40 UTC 2026","App shell","app-shell.spec.ts","",""
"","6998","@smoke @e2e Recently deleted page loads","firefox","Fri Feb 13 01:46:08 UTC 2026","passed","Fri Feb 13 01:46:15 UTC 2026","Recently deleted","recently-deleted.spec.ts","",""
"","6104","@smoke @e2e Collections page loads","chromium","Fri Feb 13 01:45:40 UTC 2026","passed","Fri Feb 13 01:45:46 UTC 2026","Collections","collections.spec.ts","",""
"","18063","@e2e @smoke Create Folder opens modal","webkit","Fri Feb 13 01:46:24 UTC 2026","passed","Fri Feb 13 01:46:43 UTC 2026","Create actions","create-actions.spec.ts","",""
"","6842","@e2e @smoke New menu shows all expected options","firefox","Fri Feb 13 01:46:05 UTC 2026","passed","Fri Feb 13 01:46:12 UTC 2026","New menu","new-menu.spec.ts","",""
"","16587","@e2e @smoke New Collection opens modal","webkit","Fri Feb 13 01:46:12 UTC 2026","passed","Fri Feb 13 01:46:28 UTC 2026","Create actions","create-actions.spec.ts","",""
"","12441","@e2e @smoke Upload file, verify in All assets, then delete","chromium-unauth","Fri Feb 13 01:45:47 UTC 2026","passed","Fri Feb 13 01:45:59 UTC 2026","File upload and delete","file-upload.spec.ts","",""
"","5192","@smoke @e2e All assets page loads","chromium","Fri Feb 13 01:45:29 UTC 2026","passed","Fri Feb 13 01:45:34 UTC 2026","All assets","all-assets.spec.ts","",""
"","5726","@smoke @e2e Session persists after navigation","chromium","Fri Feb 13 01:45:29 UTC 2026","passed","Fri Feb 13 01:45:35 UTC 2026","App shell","app-shell.spec.ts","",""
"","3565","@regression @auth @e2e Login with invalid credentials shows error","chromium-unauth","Fri Feb 13 01:45:29 UTC 2026","passed","Fri Feb 13 01:45:32 UTC 2026","Login > Authentication flow","login.spec.ts","",""
"","7602","@smoke @e2e New button is visible on All assets page","firefox","Fri Feb 13 01:45:31 UTC 2026","passed","Fri Feb 13 01:45:38 UTC 2026","App shell","app-shell.spec.ts","",""
"","5705","@smoke @e2e Favorites page loads","chromium","Fri Feb 13 01:45:59 UTC 2026","passed","Fri Feb 13 01:46:04 UTC 2026","My favorites","favorites.spec.ts","",""
"","7004","@e2e New menu closes on Escape","chromium","Fri Feb 13 01:45:48 UTC 2026","passed","Fri Feb 13 01:45:55 UTC 2026","Create actions","create-actions.spec.ts","",""
"","9355","@smoke @e2e Dashboard page loads with welcome message","webkit","Fri Feb 13 01:46:51 UTC 2026","passed","Fri Feb 13 01:47:01 UTC 2026","Dashboard","dashboard.spec.ts","",""
"","9395","@e2e @smoke New menu shows all expected options","webkit","Fri Feb 13 01:47:10 UTC 2026","passed","Fri Feb 13 01:47:19 UTC 2026","New menu","new-menu.spec.ts","",""
"","9826","@smoke @e2e New button is visible on All assets page","webkit","Fri Feb 13 01:45:54 UTC 2026","passed","Fri Feb 13 01:46:04 UTC 2026","App shell","app-shell.spec.ts","",""
"","10362","@smoke @e2e Collections page loads","webkit","Fri Feb 13 01:46:01 UTC 2026","passed","Fri Feb 13 01:46:12 UTC 2026","Collections","collections.spec.ts","",""
