"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30125","@e2e @smoke New Collection opens modal","firefox","Thu Feb 19 06:08:18 UTC 2026","broken","Thu Feb 19 06:08:48 UTC 2026","Create actions","create-actions.spec.ts","",""
"","32381","@smoke @e2e New button is visible on All assets page","webkit","Thu Feb 19 06:06:51 UTC 2026","broken","Thu Feb 19 06:07:24 UTC 2026","App shell","app-shell.spec.ts","",""
"","3686","@regression @auth @e2e Login with invalid credentials shows error","chromium-unauth","Thu Feb 19 06:03:47 UTC 2026","passed","Thu Feb 19 06:03:51 UTC 2026","Login > Authentication flow","login.spec.ts","",""
"","31950","@smoke @e2e Left menu has all expected items: Dashboard, All assets, My favorites, Collections, Recently deleted","chromium","Thu Feb 19 06:10:29 UTC 2026","broken","Thu Feb 19 06:11:01 UTC 2026","Dashboard","dashboard.spec.ts","",""
"","31735","@e2e @smoke Create Folder opens modal","webkit","Thu Feb 19 06:08:32 UTC 2026","broken","Thu Feb 19 06:09:03 UTC 2026","Create actions","create-actions.spec.ts","",""
"","8880","@smoke @e2e Left menu has all expected items: Dashboard, All assets, My favorites, Collections, Recently deleted","webkit","Thu Feb 19 06:09:59 UTC 2026","passed","Thu Feb 19 06:10:08 UTC 2026","Dashboard","dashboard.spec.ts","",""
"","30166","@smoke @e2e New button is visible on All assets page","firefox","Thu Feb 19 06:06:18 UTC 2026","broken","Thu Feb 19 06:06:48 UTC 2026","App shell","app-shell.spec.ts","",""
"","980","@e2e @auth Login with empty credentials shows validation","chromium-unauth","Thu Feb 19 06:03:51 UTC 2026","passed","Thu Feb 19 06:03:52 UTC 2026","Login > Form validation","login.spec.ts","",""
"","31619","@e2e @smoke New Collection opens modal","webkit","Thu Feb 19 06:09:26 UTC 2026","broken","Thu Feb 19 06:09:58 UTC 2026","Create actions","create-actions.spec.ts","",""
"","31483","@smoke @e2e Collections page loads","chromium","Thu Feb 19 06:07:11 UTC 2026","broken","Thu Feb 19 06:07:43 UTC 2026","Collections","collections.spec.ts","",""
"","31521","@smoke @e2e Recently deleted page loads","chromium","Thu Feb 19 06:13:46 UTC 2026","broken","Thu Feb 19 06:14:18 UTC 2026","Recently deleted","recently-deleted.spec.ts","",""
"","31918","@smoke @e2e Session persists after navigation","webkit","Thu Feb 19 06:05:11 UTC 2026","broken","Thu Feb 19 06:05:43 UTC 2026","App shell","app-shell.spec.ts","",""
"","31559","@smoke @e2e Favorites page loads","chromium","Thu Feb 19 06:12:08 UTC 2026","broken","Thu Feb 19 06:12:40 UTC 2026","My favorites","favorites.spec.ts","",""
"","31508","@e2e New menu closes on Escape","webkit","Thu Feb 19 06:10:12 UTC 2026","broken","Thu Feb 19 06:10:43 UTC 2026","Create actions","create-actions.spec.ts","",""
"","7454","@smoke @e2e New button is visible on dashboard","firefox","Thu Feb 19 06:05:30 UTC 2026","passed","Thu Feb 19 06:05:38 UTC 2026","App shell","app-shell.spec.ts","",""
"","31526","@e2e @smoke New menu shows all expected options","chromium","Thu Feb 19 06:12:20 UTC 2026","broken","Thu Feb 19 06:12:52 UTC 2026","New menu","new-menu.spec.ts","",""
"","31884","@smoke @e2e New button is visible on All assets page","chromium","Thu Feb 19 06:06:39 UTC 2026","broken","Thu Feb 19 06:07:11 UTC 2026","App shell","app-shell.spec.ts","",""
"","31922","@smoke @e2e All assets page loads","webkit","Thu Feb 19 06:05:11 UTC 2026","broken","Thu Feb 19 06:05:43 UTC 2026","All assets","all-assets.spec.ts","",""
"","31977","@smoke @e2e Session persists after navigation","chromium","Thu Feb 19 06:04:59 UTC 2026","broken","Thu Feb 19 06:05:31 UTC 2026","App shell","app-shell.spec.ts","",""
