"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31937","@smoke @regression Download links tab loads","webkit","Thu Mar 26 06:26:41 UTC 2026","broken","Thu Mar 26 06:27:13 UTC 2026","Organization settings - Download links","ui/organization-settings/download-links.spec.ts","",""
"","30167","@smoke @regression Roles tab loads","firefox","Thu Mar 26 06:29:34 UTC 2026","broken","Thu Mar 26 06:30:04 UTC 2026","Organization settings - Roles","ui/organization-settings/roles.spec.ts","",""
"","32021","@smoke @regression New button is visible on All assets page","webkit","Thu Mar 26 06:18:21 UTC 2026","broken","Thu Mar 26 06:18:53 UTC 2026","App shell","ui/app-shell.spec.ts","",""
"","31360","@smoke @regression Teams tab loads","chromium","Thu Mar 26 06:34:17 UTC 2026","broken","Thu Mar 26 06:34:48 UTC 2026","Organization settings - Teams","ui/organization-settings/teams.spec.ts","",""
"","32013","@smoke @regression New button is visible on dashboard","webkit","Thu Mar 26 06:18:21 UTC 2026","broken","Thu Mar 26 06:18:53 UTC 2026","App shell","ui/app-shell.spec.ts","",""
"","31537","@smoke @regression Recently deleted page loads","webkit","Thu Mar 26 06:33:20 UTC 2026","broken","Thu Mar 26 06:33:52 UTC 2026","Recently deleted","ui/recently-deleted.spec.ts","",""
"","32023","@smoke @regression Dashboard shows welcome message","webkit","Thu Mar 26 06:23:21 UTC 2026","broken","Thu Mar 26 06:23:53 UTC 2026","Dashboard","ui/dashboard.spec.ts","",""
"","30155","@regression New menu closes on Escape","firefox","Thu Mar 26 06:21:31 UTC 2026","broken","Thu Mar 26 06:22:02 UTC 2026","Create actions","ui/create-actions.spec.ts","",""
"","32056","@smoke @regression Organization settings tabs open correctly and titles exist","webkit","Thu Mar 26 06:28:21 UTC 2026","broken","Thu Mar 26 06:28:53 UTC 2026","Organization settings","ui/organization-settings/organization-settings.spec.ts","",""
"","31906","@smoke @regression Session persists after navigation","webkit","Thu Mar 26 06:16:41 UTC 2026","broken","Thu Mar 26 06:17:13 UTC 2026","App shell","ui/app-shell.spec.ts","",""
"","30194","@smoke @regression All assets page loads","firefox","Thu Mar 26 06:16:35 UTC 2026","broken","Thu Mar 26 06:17:05 UTC 2026","All assets","ui/all-assets.spec.ts","",""
"","30155","@smoke @regression Left menu has all expected items: Dashboard, All assets, My favorites, Collections, Recently deleted","firefox","Thu Mar 26 06:23:04 UTC 2026","broken","Thu Mar 26 06:23:35 UTC 2026","Dashboard","ui/dashboard.spec.ts","",""
"","31988","@regression @smoke New menu shows all expected options","webkit","Thu Mar 26 06:25:01 UTC 2026","broken","Thu Mar 26 06:25:33 UTC 2026","New menu","ui/new-menu.spec.ts","",""
"","31955","@smoke @regression Roles tab loads","webkit","Thu Mar 26 06:30:02 UTC 2026","broken","Thu Mar 26 06:30:34 UTC 2026","Organization settings - Roles","ui/organization-settings/roles.spec.ts","",""
"","30152","@smoke @regression Tags tab loads","firefox","Thu Mar 26 06:31:12 UTC 2026","broken","Thu Mar 26 06:31:42 UTC 2026","Organization settings - Tags","ui/organization-settings/tags.spec.ts","",""
"","32074","@smoke @regression Overview tab loads with org name and metrics","webkit","Thu Mar 26 06:28:21 UTC 2026","broken","Thu Mar 26 06:28:54 UTC 2026","Organization settings - Overview","ui/organization-settings/overview.spec.ts","",""
"","31509","@smoke @regression Session persists after navigation","chromium","Thu Mar 26 06:19:31 UTC 2026","broken","Thu Mar 26 06:20:02 UTC 2026","App shell","ui/app-shell.spec.ts","",""
"","874","@regression @auth Login with empty credentials shows validation","chromium-unauth","Thu Mar 26 06:17:10 UTC 2026","passed","Thu Mar 26 06:17:11 UTC 2026","Login > Form validation","ui/login.spec.ts","",""
