"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13933","@smoke @e2e Overview tab loads with org name and metrics","webkit","Wed Mar 04 20:39:17 UTC 2026","passed","Wed Mar 04 20:39:31 UTC 2026","Organization settings - Overview","ui/organization-settings/overview.spec.ts","",""
"","11187","@smoke @e2e Favorites page loads","webkit","Wed Mar 04 20:38:40 UTC 2026","passed","Wed Mar 04 20:38:51 UTC 2026","My favorites","ui/favorites.spec.ts","",""
"","8780","@smoke @e2e Roles tab loads","firefox","Wed Mar 04 20:38:19 UTC 2026","passed","Wed Mar 04 20:38:28 UTC 2026","Organization settings - Roles","ui/organization-settings/roles.spec.ts","",""
"","6196","@e2e @smoke New Collection opens modal","chromium","Wed Mar 04 20:37:09 UTC 2026","passed","Wed Mar 04 20:37:15 UTC 2026","Create actions","ui/create-actions.spec.ts","",""
"","20980","@e2e @smoke New Collection opens modal","webkit","Wed Mar 04 20:37:59 UTC 2026","passed","Wed Mar 04 20:38:20 UTC 2026","Create actions","ui/create-actions.spec.ts","",""
"","4445","@smoke @e2e Roles tab loads","chromium","Wed Mar 04 20:37:38 UTC 2026","passed","Wed Mar 04 20:37:43 UTC 2026","Organization settings - Roles","ui/organization-settings/roles.spec.ts","",""
"","9834","@smoke @e2e Overview tab loads with org name and metrics","firefox","Wed Mar 04 20:38:09 UTC 2026","passed","Wed Mar 04 20:38:19 UTC 2026","Organization settings - Overview","ui/organization-settings/overview.spec.ts","",""
"","17098","@smoke @e2e Shareable links tab loads","webkit","Wed Mar 04 20:39:37 UTC 2026","passed","Wed Mar 04 20:39:54 UTC 2026","Organization settings - Shareable links","ui/organization-settings/shareable-links.spec.ts","",""
"","4627","@e2e @smoke New menu shows all expected options","chromium","Wed Mar 04 20:37:20 UTC 2026","passed","Wed Mar 04 20:37:25 UTC 2026","New menu","ui/new-menu.spec.ts","",""
"","14571","@smoke @e2e Members tab loads","webkit","Wed Mar 04 20:39:03 UTC 2026","passed","Wed Mar 04 20:39:17 UTC 2026","Organization settings - Members","ui/organization-settings/members.spec.ts","",""
"","5135","@smoke @e2e Collections page loads","chromium","Wed Mar 04 20:37:03 UTC 2026","passed","Wed Mar 04 20:37:09 UTC 2026","Collections","ui/collections.spec.ts","",""
"","5158","@smoke @e2e New button is visible on dashboard","chromium","Wed Mar 04 20:36:58 UTC 2026","passed","Wed Mar 04 20:37:03 UTC 2026","App shell","ui/app-shell.spec.ts","",""
"","11657","@smoke @e2e Tags tab loads","firefox","Wed Mar 04 20:38:28 UTC 2026","passed","Wed Mar 04 20:38:40 UTC 2026","Organization settings - Tags","ui/organization-settings/tags.spec.ts","",""
"","10600","@e2e @smoke Create Folder opens modal","firefox","Wed Mar 04 20:37:19 UTC 2026","passed","Wed Mar 04 20:37:30 UTC 2026","Create actions","ui/create-actions.spec.ts","",""
"","8321","@smoke @e2e Collections page loads","firefox","Wed Mar 04 20:37:19 UTC 2026","passed","Wed Mar 04 20:37:27 UTC 2026","Collections","ui/collections.spec.ts","",""
"","8002","@smoke @e2e Download links tab loads","chromium","Wed Mar 04 20:37:24 UTC 2026","passed","Wed Mar 04 20:37:32 UTC 2026","Organization settings - Download links","ui/organization-settings/download-links.spec.ts","",""
"","6350","@smoke @e2e Overview tab loads with org name and metrics","chromium","Wed Mar 04 20:37:32 UTC 2026","passed","Wed Mar 04 20:37:38 UTC 2026","Organization settings - Overview","ui/organization-settings/overview.spec.ts","",""
"","10734","@e2e @smoke Upload file, verify in All assets, then delete","chromium-unauth","Wed Mar 04 20:36:57 UTC 2026","passed","Wed Mar 04 20:37:08 UTC 2026","File upload and delete","ui/file-upload.spec.ts","",""
"","3606","@regression @auth @e2e Login with invalid credentials shows error","chromium-unauth","Wed Mar 04 20:36:57 UTC 2026","passed","Wed Mar 04 20:37:01 UTC 2026","Login > Authentication flow","ui/login.spec.ts","",""
"","9762","@smoke @e2e Teams tab loads","firefox","Wed Mar 04 20:38:37 UTC 2026","passed","Wed Mar 04 20:38:47 UTC 2026","Organization settings - Teams","ui/organization-settings/teams.spec.ts","",""
"","9810","@e2e New menu closes on Escape","firefox","Wed Mar 04 20:37:30 UTC 2026","passed","Wed Mar 04 20:37:40 UTC 2026","Create actions","ui/create-actions.spec.ts","",""
"","28718","@smoke @e2e Session persists after navigation","webkit","Wed Mar 04 20:37:09 UTC 2026","passed","Wed Mar 04 20:37:38 UTC 2026","App shell","ui/app-shell.spec.ts","",""
"","20306","@smoke @e2e Organization settings tabs open correctly and titles exist","firefox","Wed Mar 04 20:38:05 UTC 2026","passed","Wed Mar 04 20:38:26 UTC 2026","Organization settings","ui/organization-settings/organization-settings.spec.ts","",""
"","10979","@smoke @e2e Collections page loads","webkit","Wed Mar 04 20:37:48 UTC 2026","passed","Wed Mar 04 20:37:59 UTC 2026","Collections","ui/collections.spec.ts","",""
"","11568","@smoke @e2e Download links tab loads","firefox","Wed Mar 04 20:37:54 UTC 2026","passed","Wed Mar 04 20:38:05 UTC 2026","Organization settings - Download links","ui/organization-settings/download-links.spec.ts","",""
"","5425","@smoke @e2e All assets page loads","chromium","Wed Mar 04 20:36:53 UTC 2026","passed","Wed Mar 04 20:36:58 UTC 2026","All assets","ui/all-assets.spec.ts","",""
"","1052","@e2e @auth Login with empty credentials shows validation","chromium-unauth","Wed Mar 04 20:37:01 UTC 2026","passed","Wed Mar 04 20:37:02 UTC 2026","Login > Form validation","ui/login.spec.ts","",""
"","4756","@smoke @e2e cu","chromium","Wed Mar 04 20:37:16 UTC 2026","passed","Wed Mar 04 20:37:20 UTC 2026","Dashboard","ui/dashboard.spec.ts","",""
"","5742","@smoke @e2e Session persists after navigation","chromium","Wed Mar 04 20:36:53 UTC 2026","passed","Wed Mar 04 20:36:58 UTC 2026","App shell","ui/app-shell.spec.ts","",""
"","19974","@e2e @smoke Create Folder opens modal","webkit","Wed Mar 04 20:37:51 UTC 2026","passed","Wed Mar 04 20:38:11 UTC 2026","Create actions","ui/create-actions.spec.ts","",""
"","11410","@e2e @smoke New menu shows all expected options","webkit","Wed Mar 04 20:38:51 UTC 2026","passed","Wed Mar 04 20:39:03 UTC 2026","New menu","ui/new-menu.spec.ts","",""
"","8889","@smoke @e2e cu","firefox","Wed Mar 04 20:37:40 UTC 2026","passed","Wed Mar 04 20:37:48 UTC 2026","Dashboard","ui/dashboard.spec.ts","",""
"","8335","@smoke @e2e New button is visible on All assets page","firefox","Wed Mar 04 20:37:11 UTC 2026","passed","Wed Mar 04 20:37:19 UTC 2026","App shell","ui/app-shell.spec.ts","",""
"","11675","@smoke @e2e All assets page loads","firefox","Wed Mar 04 20:36:58 UTC 2026","passed","Wed Mar 04 20:37:09 UTC 2026","All assets","ui/all-assets.spec.ts","",""
"","8462","@smoke @e2e Tags tab loads","chromium","Wed Mar 04 20:37:46 UTC 2026","passed","Wed Mar 04 20:37:54 UTC 2026","Organization settings - Tags","ui/organization-settings/tags.spec.ts","",""
"","6850","@e2e @smoke Create Folder opens modal","chromium","Wed Mar 04 20:37:04 UTC 2026","passed","Wed Mar 04 20:37:11 UTC 2026","Create actions","ui/create-actions.spec.ts","",""
"","10165","@smoke @e2e cu","webkit","Wed Mar 04 20:38:30 UTC 2026","passed","Wed Mar 04 20:38:40 UTC 2026","Dashboard","ui/dashboard.spec.ts","",""
"","8035","@e2e @smoke New menu shows all expected options","firefox","Wed Mar 04 20:37:48 UTC 2026","passed","Wed Mar 04 20:37:56 UTC 2026","New menu","ui/new-menu.spec.ts","",""
"","14963","@e2e New menu closes on Escape","webkit","Wed Mar 04 20:38:36 UTC 2026","passed","Wed Mar 04 20:38:50 UTC 2026","Create actions","ui/create-actions.spec.ts","",""
"","5719","@smoke @e2e Members tab loads","chromium","Wed Mar 04 20:37:25 UTC 2026","passed","Wed Mar 04 20:37:31 UTC 2026","Organization settings - Members","ui/organization-settings/members.spec.ts","",""
"","6650","@smoke @e2e Teams tab loads","chromium","Wed Mar 04 20:37:50 UTC 2026","passed","Wed Mar 04 20:37:57 UTC 2026","Organization settings - Teams","ui/organization-settings/teams.spec.ts","",""
"","16587","@smoke @e2e Teams tab loads","webkit","Wed Mar 04 20:39:54 UTC 2026","passed","Wed Mar 04 20:40:11 UTC 2026","Organization settings - Teams","ui/organization-settings/teams.spec.ts","",""
"","11384","@smoke @e2e New button is visible on dashboard","webkit","Wed Mar 04 20:37:36 UTC 2026","passed","Wed Mar 04 20:37:48 UTC 2026","App shell","ui/app-shell.spec.ts","",""
"","10406","@e2e @smoke New Collection opens modal","firefox","Wed Mar 04 20:37:27 UTC 2026","passed","Wed Mar 04 20:37:38 UTC 2026","Create actions","ui/create-actions.spec.ts","",""
"","7853","@smoke @e2e Recently deleted page loads","firefox","Wed Mar 04 20:38:40 UTC 2026","passed","Wed Mar 04 20:38:47 UTC 2026","Recently deleted","ui/recently-deleted.spec.ts","",""
"","28700","@smoke @e2e Organization settings tabs open correctly and titles exist","webkit","Wed Mar 04 20:39:08 UTC 2026","passed","Wed Mar 04 20:39:37 UTC 2026","Organization settings","ui/organization-settings/organization-settings.spec.ts","",""
"","8399","@smoke @e2e Favorites page loads","firefox","Wed Mar 04 20:37:45 UTC 2026","passed","Wed Mar 04 20:37:54 UTC 2026","My favorites","ui/favorites.spec.ts","",""
"","14554","@smoke @e2e Tags tab loads","webkit","Wed Mar 04 20:39:46 UTC 2026","passed","Wed Mar 04 20:40:00 UTC 2026","Organization settings - Tags","ui/organization-settings/tags.spec.ts","",""
"","8055","@smoke @e2e New button is visible on dashboard","firefox","Wed Mar 04 20:37:11 UTC 2026","passed","Wed Mar 04 20:37:19 UTC 2026","App shell","ui/app-shell.spec.ts","",""
"","5277","@smoke @e2e New button is visible on All assets page","chromium","Wed Mar 04 20:36:59 UTC 2026","passed","Wed Mar 04 20:37:04 UTC 2026","App shell","ui/app-shell.spec.ts","",""
"","10661","@smoke @e2e Recently deleted page loads","webkit","Wed Mar 04 20:40:00 UTC 2026","passed","Wed Mar 04 20:40:11 UTC 2026","Recently deleted","ui/recently-deleted.spec.ts","",""
"","4969","@e2e New menu closes on Escape","chromium","Wed Mar 04 20:37:11 UTC 2026","passed","Wed Mar 04 20:37:16 UTC 2026","Create actions","ui/create-actions.spec.ts","",""
"","12769","@smoke @e2e Members tab loads","firefox","Wed Mar 04 20:37:56 UTC 2026","passed","Wed Mar 04 20:38:09 UTC 2026","Organization settings - Members","ui/organization-settings/members.spec.ts","",""
"","7869","@smoke @e2e Left menu has all expected items: Dashboard, All assets, My favorites, Collections, Recently deleted","firefox","Wed Mar 04 20:37:38 UTC 2026","passed","Wed Mar 04 20:37:45 UTC 2026","Dashboard","ui/dashboard.spec.ts","",""
"","12122","@smoke @e2e Session persists after navigation","firefox","Wed Mar 04 20:36:58 UTC 2026","passed","Wed Mar 04 20:37:10 UTC 2026","App shell","ui/app-shell.spec.ts","",""
"","14994","@smoke @e2e Organization settings tabs open correctly and titles exist","chromium","Wed Mar 04 20:37:31 UTC 2026","passed","Wed Mar 04 20:37:46 UTC 2026","Organization settings","ui/organization-settings/organization-settings.spec.ts","",""
"","26011","@smoke @e2e All assets page loads","webkit","Wed Mar 04 20:37:09 UTC 2026","passed","Wed Mar 04 20:37:35 UTC 2026","All assets","ui/all-assets.spec.ts","",""
